sample	group	fq1	fq2
ERR1016723	homogametic	data/fastq/ERR1016723_1.fastq.gz	data/fastq/ERR1016723_2.fastq.gz
ERR1016721	homogametic	data/fastq/ERR1016721_1.fastq.gz	data/fastq/ERR1016721_2.fastq.gz
ERR1016725	homogametic	data/fastq/ERR1016725_1.fastq.gz	data/fastq/ERR1016725_2.fastq.gz
ERR1016729	heterogametic	data/fastq/ERR1016729_1.fastq.gz	data/fastq/ERR1016729_2.fastq.gz
ERR1016720	homogametic	data/fastq/ERR1016720_1.fastq.gz	data/fastq/ERR1016720_2.fastq.gz
ERR1016722	homogametic	data/fastq/ERR1016722_1.fastq.gz	data/fastq/ERR1016722_2.fastq.gz
ERR1016724	homogametic	data/fastq/ERR1016724_1.fastq.gz	data/fastq/ERR1016724_2.fastq.gz
ERR1016731	homogametic	data/fastq/ERR1016731_1.fastq.gz	data/fastq/ERR1016731_2.fastq.gz
ERR1016732	homogametic	data/fastq/ERR1016732_1.fastq.gz	data/fastq/ERR1016732_2.fastq.gz
ERR1016733	homogametic	data/fastq/ERR1016733_1.fastq.gz	data/fastq/ERR1016733_2.fastq.gz
ERR1016737	homogametic	data/fastq/ERR1016737_1.fastq.gz	data/fastq/ERR1016737_2.fastq.gz
ERR1016727	heterogametic	data/fastq/ERR1016727_1.fastq.gz	data/fastq/ERR1016727_2.fastq.gz
ERR1016735	homogametic	data/fastq/ERR1016735_1.fastq.gz	data/fastq/ERR1016735_2.fastq.gz
ERR1016738	homogametic	data/fastq/ERR1016738_1.fastq.gz	data/fastq/ERR1016738_2.fastq.gz
ERR1016717	heterogametic	data/fastq/ERR1016717_1.fastq.gz	data/fastq/ERR1016717_2.fastq.gz
ERR1016719	homogametic	data/fastq/ERR1016719_1.fastq.gz	data/fastq/ERR1016719_2.fastq.gz
ERR1016716	heterogametic	data/fastq/ERR1016716_1.fastq.gz	data/fastq/ERR1016716_2.fastq.gz
ERR1016718	homogametic	data/fastq/ERR1016718_1.fastq.gz	data/fastq/ERR1016718_2.fastq.gz
ERR1016726	heterogametic	data/fastq/ERR1016726_1.fastq.gz	data/fastq/ERR1016726_2.fastq.gz
ERR1016728	heterogametic	data/fastq/ERR1016728_1.fastq.gz	data/fastq/ERR1016728_2.fastq.gz
ERR1016730	heterogametic	data/fastq/ERR1016730_1.fastq.gz	data/fastq/ERR1016730_2.fastq.gz
ERR1016734	homogametic	data/fastq/ERR1016734_1.fastq.gz	data/fastq/ERR1016734_2.fastq.gz
ERR1016736	homogametic	data/fastq/ERR1016736_1.fastq.gz	data/fastq/ERR1016736_2.fastq.gz
